"date","datetime","time","open","high","low","close","volumefrom","volumeto"
2017-10-20,2017-10-20T00:00:00Z,1508457600,7297.97,7747.89,7162.16,7636.39,963.83,7208989.41
2017-10-21,2017-10-21T00:00:00Z,1508544000,7636.39,7960.87,7590.84,7737.49,634.42,4931085.82
2017-10-22,2017-10-22T00:00:00Z,1508630400,7731.96,7787.71,7393.43,7713.93,2724.79,20561287.33
2017-10-23,2017-10-23T00:00:00Z,1508716800,7715.37,7760.69,7247.38,7720.91,968.43,7300321.61
2017-10-24,2017-10-24T00:00:00Z,1508803200,7720.91,7727.5,7142,7225.8,1527.63,11167897.96
2017-10-25,2017-10-25T00:00:00Z,1508889600,7224.79,7544.89,7081.69,7462.88,892.43,6457431.27
2017-10-26,2017-10-26T00:00:00Z,1508976000,7459.39,7792.13,7410.29,7708.31,1017.71,7721013.61
2017-10-27,2017-10-27T00:00:00Z,1509062400,7708.31,7907.16,7485.76,7673.49,553.83,4287946.52
2017-10-28,2017-10-28T00:00:00Z,1509148800,7674.7,19604.35,7410.11,18988.49,195.77,15732442.11
2017-10-29,2017-10-29T00:00:00Z,1509235200,17420.88,77355.96,7981.42,8018.65,809.77,6360328.43
2017-10-30,2017-10-30T00:00:00Z,1509321600,8039.48,8190.02,7858.91,8003.25,1031.78,8220670.65
2017-10-31,2017-10-31T00:00:00Z,1509408000,8003.25,8554.51,7928.68,8430.79,1748.6,14293247.57
2017-11-01,2017-11-01T00:00:00Z,1509494400,8427.86,8920.28,8286.73,8919.5,1379.91,11815027.78
2017-11-02,2017-11-02T00:00:00Z,1509580800,8919.5,9776.14,8913.58,9249.86,2833.72,26088336.96
2017-11-03,2017-11-03T00:00:00Z,1509667200,9249.86,9947.65,9148.46,9558.18,1667.39,15943720.19
2017-11-04,2017-11-04T00:00:00Z,1509753600,9530.47,9882.44,9265.69,9709.47,1246.79,11860233.05
2017-11-05,2017-11-05T00:00:00Z,1509840000,9709.47,9973.95,9594.41,9692.39,1456.58,14301038
2017-11-06,2017-11-06T00:00:00Z,1509926400,9699.43,9855.09,9248.19,9270.26,1800.72,17253450.25
2017-11-07,2017-11-07T00:00:00Z,1510012800,9270.26,9650.3,9260.61,9422.75,1312.66,12409730.54
2017-11-08,2017-11-08T00:00:00Z,1510099200,9422.75,10025.37,9405.27,9883.15,932.28,9081776.33
2017-11-09,2017-11-09T00:00:00Z,1510185600,9911.45,9953.55,9344.95,9452.21,1036.8,9944103.03
2017-11-10,2017-11-10T00:00:00Z,1510272000,9454.1,9717.62,8468.37,9051.32,1433.1,13053263.48
2017-11-11,2017-11-11T00:00:00Z,1510358400,9051.32,9274.62,8128.21,8381.48,1170.26,10079371.13
2017-11-12,2017-11-12T00:00:00Z,1510444800,8418.83,8996.01,7004.35,7924.89,4539.04,36258516.75
2017-11-13,2017-11-13T00:00:00Z,1510531200,7924.92,8956.22,7747.01,8718.72,2043.61,17172313.85
2017-11-14,2017-11-14T00:00:00Z,1510617600,8701.06,9084.39,8576.9,8834.24,997.03,8763105
2017-11-15,2017-11-15T00:00:00Z,1510704000,8834.24,9886.63,8813.43,9776.77,1280.12,12006204.83
2017-11-16,2017-11-16T00:00:00Z,1510790400,9776.77,10733.73,9594.65,10569.91,1275.22,12806118.41
2017-11-17,2017-11-17T00:00:00Z,1510876800,10550.29,10941.26,10172.46,10376.49,1466.64,15388607.12
2017-11-18,2017-11-18T00:00:00Z,1510963200,10376.49,10494.26,9914.71,10387.61,842.15,8568217.92
2017-11-19,2017-11-19T00:00:00Z,1511049600,10383.52,10735.69,10291.72,10693.55,405.21,4263481.32
2017-11-20,2017-11-20T00:00:00Z,1511136000,10724.57,11041.69,10529.23,11029.68,629.6,6790772.29
2017-11-21,2017-11-21T00:00:00Z,1511222400,11023.94,11196.86,10516.98,10806.19,1408.59,15185067.46
2017-11-22,2017-11-22T00:00:00Z,1511308800,10804,11134.04,10746.91,10997.79,490.77,5366874.73
2017-11-23,2017-11-23T00:00:00Z,1511395200,10997.75,11063.93,10649.98,10649.98,566.68,6150804.78
2017-11-24,2017-11-24T00:00:00Z,1511481600,10649.98,11098.78,10586.12,10955.08,531.18,5747298.33
2017-11-25,2017-11-25T00:00:00Z,1511568000,10949.6,11567.06,10837.27,11533.5,848.27,9528477.5
2017-11-26,2017-11-26T00:00:00Z,1511654400,11533.5,12423.86,11533.5,12297.99,767.38,9125072.22
2017-11-27,2017-11-27T00:00:00Z,1511740800,12297.99,12879.98,12291.58,12829,886.03,11216653.65
2017-11-28,2017-11-28T00:00:00Z,1511827200,12829,13774.78,12797.49,13755.06,2011.51,26519768.39
2017-11-29,2017-11-29T00:00:00Z,1511913600,13755.06,15489.19,12019.74,13097.58,9822.51,133601606.16
2017-11-30,2017-11-30T00:00:00Z,1512000000,13050.47,14934.05,12356.33,14009.78,2969.75,40826701.14
2017-12-01,2017-12-01T00:00:00Z,1512086400,14009.78,14739.73,13208.79,14598.44,2951.12,41094123.54
2017-12-02,2017-12-02T00:00:00Z,1512172800,14598.44,15184.27,14312.64,14817.58,1263.73,18414868.52
2017-12-03,2017-12-03T00:00:00Z,1512259200,14817.58,15925.52,14184.57,15024.19,18157.26,273069828.35
2017-12-04,2017-12-04T00:00:00Z,1512345600,15024.19,16196.15,14554.7,15828.05,1061.88,16648013.73
2017-12-05,2017-12-05T00:00:00Z,1512432000,15817.28,17046.19,15817.28,16885.22,883,14434055.77
2017-12-06,2017-12-06T00:00:00Z,1512518400,16886.23,20027.28,16807.2,19649.53,2763.8,49716660.35
2017-12-07,2017-12-07T00:00:00Z,1512604800,19601.52,27697.31,18759.36,26043.79,23446.87,533027892.63
2017-12-08,2017-12-08T00:00:00Z,1512691200,26074.57,27263.07,19124.93,24826.92,64150.39,1453465362.25
2017-12-09,2017-12-09T00:00:00Z,1512777600,24906.63,26250.91,17419.54,20481.31,13065.83,258100966.13
2017-12-10,2017-12-10T00:00:00Z,1512864000,20509.36,22402.43,17379.49,21184.87,8159.73,154502929.34
2017-12-11,2017-12-11T00:00:00Z,1512950400,21240.87,23895.9,20913.28,23174.69,1813.68,41403867.99
2017-12-12,2017-12-12T00:00:00Z,1513036800,23174.69,23882.82,22418.77,23757.6,1281.71,29654577.22
2017-12-13,2017-12-13T00:00:00Z,1513123200,23795.45,24425.08,23048.75,23217.66,1003.2,23660851.23
2017-12-14,2017-12-14T00:00:00Z,1513209600,23250.45,23822.01,22531.13,23102.28,811.31,18743837.57
2017-12-15,2017-12-15T00:00:00Z,1513296000,23048.45,24498.97,22802.56,24227.48,1072.68,25485827.13
2017-12-16,2017-12-16T00:00:00Z,1513382400,24227.48,26977.78,24029.27,26802.18,748.2,18929845.27
2017-12-17,2017-12-17T00:00:00Z,1513468800,26802.18,26874.71,25511.24,25986.55,781.03,20466837.67
2017-12-18,2017-12-18T00:00:00Z,1513555200,25985.67,26397.04,24601.86,25843.89,944.91,24105965.17
2017-12-19,2017-12-19T00:00:00Z,1513641600,25843.89,25998.91,23013.99,23906.56,1317.89,32643547.93
2017-12-20,2017-12-20T00:00:00Z,1513728000,23971.52,24998.72,21564.6,22930.16,1705.21,39558585.18
2017-12-21,2017-12-21T00:00:00Z,1513814400,22930.16,23366.15,20501.36,21586.25,1172.65,26094770.51
